Identificador_Id	Movimiento_Id	Procesos_Id	Proceso_Id_Catalogo	sCodigo	sDescripcion
909	910	14	14	14	Faena
910	911	14	14	14	Faena
911	913	14	14	14	Faena
912	914	14	14	14	Faena
913	916	14	14	14	Faena
914	917	14	14	14	Faena
915	919	14	14	14	Faena
916	920	14	14	14	Faena
917	922	14	14	14	Faena
918	923	14	14	14	Faena
919	925	14	14	14	Faena
920	926	14	14	14	Faena
921	928	14	14	14	Faena
922	929	14	14	14	Faena
923	931	14	14	14	Faena
924	932	14	14	14	Faena
925	934	14	14	14	Faena
926	935	14	14	14	Faena
927	937	14	14	14	Faena
928	938	14	14	14	Faena
929	940	14	14	14	Faena
930	941	14	14	14	Faena
931	943	14	14	14	Faena
932	944	14	14	14	Faena
933	946	14	14	14	Faena
934	947	14	14	14	Faena
935	949	14	14	14	Faena
936	950	14	14	14	Faena
937	952	14	14	14	Faena
938	953	14	14	14	Faena
939	955	14	14	14	Faena
940	956	14	14	14	Faena
941	958	14	14	14	Faena
942	959	14	14	14	Faena
943	961	14	14	14	Faena
944	962	14	14	14	Faena
945	964	14	14	14	Faena
946	965	14	14	14	Faena
947	967	14	14	14	Faena
948	968	14	14	14	Faena
949	970	14	14	14	Faena
950	971	14	14	14	Faena
951	973	14	14	14	Faena
952	974	14	14	14	Faena
953	976	14	14	14	Faena
954	977	14	14	14	Faena
955	979	14	14	14	Faena
956	980	14	14	14	Faena
957	982	14	14	14	Faena
958	983	14	14	14	Faena
