,FECHA DE ELABORACIÓN,22/01/2025,
,PRODUCCIÓN DE FECHA DE FAENA,21/01/2025,
,CABEZAS FAENADAS,228,
Tropas: 8100/8101/8102/30401/31319/31320/31321/38026/38027/53205/63007/73402,,,
,,,
CÓDIGO PRODUCTO,DESCRIPCION,CAJAS,KG. NETO
IBMCF3020,CORAZON,8,128
IBMCF3039,RECORTES DE LENGUA,2,36
IBMCF3090,PULMON,46,598
IBMCF3161,CUAJO NATURAL SEMICOCIDO,9,144
IBMCF3180,GA\A5OTE,6,84
IBMCF3220,TRAGAPASTO,3,54
IBMCF3230,TRONCO DE LENGUA,4,80
IBMCF3400,PANCREAS,1,20
IBMCFB011,HIGADO,34,422.7
IBMCFE030,LENGUA CORTE SUIZO,15,178.85
IBMCFE041,LABIO,10,100
IBMCFE042,CARNE DE CABEZA,6,72
IBMCFE043,NUEZ DE QUIJADA,16,192
IBMCFE060,CENTRO DE ENTRA\A5A,9,108
IBMCFE070,RABO,28,280
IBMCFE081,RI\A5ON,17,170
IBMCFE100,TRIPA GORDA,3,30
IBMCFE140,SANGRIA,30,300
IBMCFE141,CARNE CHICA,8,80
IBMCFE210,MONDONGO VERDE CRUDO,146,1460
IBMCFE240,BAZO,11,110
IBMCFE300,AORTA,3,36
IBMCFE310,TENDON,17,204
IBMCFE320,VINZA,2,24
IBMCFE340,MEDULA ESPINAL,2,20
IBMCFE370,TRIPA ORILLA,54,540
IBMCPE170,LIBRILLO SEMICOCIDO BLANQUEADO,6,60
IBMCPE171,LIBRILLO NATURAL SEMI COCIDO,13,130
IBMCPE179,RECORTE DE LIBRILLO NATURAL SEMI COCIDO,1,18
IBMCPE202,BONETE SEMI COCIDO,8,80
,,,
,,,
,,,
,,,
,TOTAL,518,5759.55
