,FECHA DE ELABORACIÓN,07/01/2025,
,PRODUCCIÓN DE FECHA DE FAENA,06/01/2025,
,CABEZAS FAENADAS,619,
Tropas: 28200/28201/38000/38002/38003/44300/45101/45601/51000/55200/57200/57603/60000/64000,,,
/85000/85001/85002/85003/85004/85005/96700,,,
CÓDIGO PRODUCTO,DESCRIPCION,CAJAS,KG. NETO
IBMCF3010,HIGADO,17,340
IBMCF3039,RECORTES DE LENGUA,3,54
IBMCF3220,TRAGAPASTO,8,144
IBMCF3230,TRONCO DE LENGUA,10,200
IBMCFB011,HIGADO,140,1640.65
IBMCFE010,HIGADO,7,77
IBMCFE030,LENGUA CORTE SUIZO,63,781.4
IBMCFE041,LABIO,22,220
IBMCFE042,CARNE DE CABEZA,11,132
IBMCFE043,NUEZ DE QUIJADA,37,444
IBMCFE060,CENTRO DE ENTRAÑA/A5A,11,132
IBMCFE070,RABO,65,650
IBMCFE081,RI\A5ON,6,60
IBMCFE100,TRIPA GORDA,8,80
IBMCFE140,SANGRIA,32,320
IBMCFE141,CARNE CHICA,20,200
IBMCFE180,GA\A5OTE,15,150
IBMCFE210,MONDONGO VERDE CRUDO,292,2920
IBMCFE240,BAZO,31,310
IBMCFE300,AORTA,5,60
IBMCFE310,TENDON,40,480
IBMCFE320,VINZA,2,24
IBMCFE340,MEDULA ESPINAL,6,60
IBMCFE370,TRIPA ORILLA,113,1130
IBMCPE170,LIBRILLO SEMICOCIDO BLANQUEADO,29,290
IBMCPE171,LIBRILLO NATURAL SEMI COCIDO,5,50
IBMCPE179,RECORTE DE LIBRILLO NATURAL SEMI COCIDO,2,36
IBMCPE202,BONETE SEMI COCIDO,19,190
,,,
,,,
,,,
,,,
,,,
,,,
,TOTAL,1019,11175.05
